x,y,population,cluster
92.8229326,227.7856707,98764,0
74.20037185,229.646593,94737,0
65.23600116,223.3388258,21419,0
113.9977156,368.5034526,3010232,0
138.8014258,211.5833261,6753,0
62.70648145,253.0756585,1048991,0
71.53578733,202.0115088,63463,0
49.9116502,235.013027,483878,0
128.0294165,254.0098289,4772,0
63.15096536,270.5167121,1781642,0
92.72485519,240.4557398,181058,0
118.051619,203.1294706,421407,0
60.55418047,185.9256388,13786,0
113.8912471,229.9088349,4010,0
159.5391126,277.7251352,43946,0
74.17403123,256.4858315,685303,0
107.9924859,235.5464286,55274,0
108.0850249,306.3518324,442179,0
94.12619669,210.4594122,20007,0
74.97555399,318.463433,269637,0
102.9121913,200.3569271,34895,0
93.49733109,344.5905709,823318,0
56.13416521,221.9919006,64665,0
134.5079365,231.4200083,24877,0
56.55334385,272.7601628,262382,0
178.1534922,324.1605863,1951168,0
156.3979589,393.1611273,174528,0
48.03597678,180.6578848,134620,0
52.74040012,254.5174294,805235,0
97.35218153,222.4646544,3240,0
136.0483816,306.1025823,18546,0
146.4103896,374.2170796,2189636,0
129.2075529,387.0648882,3095308,0
173.1938474,229.5911599,1987,0
59.4974976,238.6409344,136484,0
90.10860707,247.562866,38091,0
186.28053,288.4524378,5345,0
54.85438932,158.0238758,28610,0
89.26700031,253.2668824,45578,0
65.6137434,295.4456369,415057,0
69.49000011,286.8185781,55269,0
77.59482334,265.302047,514453,0
95.60938122,290.1627088,930450,0
193.1479783,207.4653176,48818,0
76.03828372,340.4203763,423895,0
103.7878861,326.0065853,839631,0
49.94964086,245.9640969,252405,0
194.3892748,248.0356915,10030,0
116.6318502,266.4474296,14202,0
149.1671236,192.7882469,16528,0
47.60043208,212.0169034,87841,0
79.77674449,214.9101282,220000,0
61.78209887,259.3124573,1510122,0
117.3552702,240.3447689,51980,0
198.7663041,336.6678329,200186,0
81.89823582,225.4449504,72155,0
90.0298512,233.5755362,348432,0
68.26020832,236.8626092,200849,0
89.27138931,304.7722811,152980,0
77.35949421,188.945069,177223,0
106.0306665,176.0863555,9686,0
159.3602802,228.1262469,5775,0
109.6053361,242.263513,46997,0
137.7788361,276.8884484,783,0
105.3698545,359.050126,9818566,0
97.21451365,278.9750774,150865,0
104.0467042,247.7618861,1175,0
96.92135141,270.3796619,18251,0
74.35473383,245.4950146,1418788,0
75.49285673,168.3240954,44900,0
80.12170934,275.7496818,255793,0
148.4024619,350.0610396,2035208,0
52.61714448,262.7074778,718451,0
65.20433582,213.2453374,28122,0
64.03834296,145.1978237,82713,0
64.14523461,245.3300366,413342,0
98.6349616,260.9919714,55365,0
385.4950312,190.7470843,2484,1
469.4916019,282.7515355,5181,1
479.411879,272.882558,3853,1
404.4932842,246.920852,22709,1
375.7907057,289.0219431,622263,1
459.3074586,292.5707417,3001,1
364.6726012,286.8645602,23350,1
380.2812832,270.2688269,572003,1
441.3213894,229.560085,539,1
417.9350782,244.3621909,2379,1
459.5337982,282.3854943,2597,1
379.9509783,265.078785,441603,1
419.4376711,226.9691371,2057,1
469.1126405,302.1214904,3307,1
439.9189973,262.0930452,2908,1
438.6455739,281.3750668,7900,1
407.8973584,223.9522888,5042,1
479.2056527,293.2826826,6970,1
406.7056323,300.9121419,1398,1
468.7697868,263.3675454,3423,1
427.2082253,270.5235165,2726,1
378.2680012,230.9349574,91738,1
396.6342582,205.1116784,1311,1
448.1898451,302.2430048,1750,1
449.5791264,281.9364495,2556,1
440.0205475,253.9347452,967,1
469.4635015,272.5757916,5642,1
430.1340518,245.7255138,2970,1
425.4060867,290.7952588,1485,1
410.1844539,291.899665,1836,1
462.1566464,246.9458476,24326,1
428.8421089,253.3206283,3966,1
371.0389866,266.847933,600158,1
449.8622484,262.6051444,11055,1
388.0964709,301.9728594,5823,1
468.5813787,316.777249,3037,1
